Designator,Mid X,Mid Y,Rotation,Layer
J2,73.985,-62.0,90.0,top
J3,72.0,-75.5,270.0,top
RPD1_1,85.4,-68.3,90.0,top
RPD1_2,85.4,-75.3,90.0,top
RPD1_3,85.0,-82.6,90.0,top
RPD1_4,85.0,-89.0,90.0,top
RPD1_5,89.15,-68.4,90.0,top
RPD1_6,88.9,-75.4,90.0,top
RPD1_7,88.9,-82.6,90.0,top
RPD1_8,88.6,-89.0,90.0,top
SW1,96.41,-63.5,90.0,top
SW2,96.41,-73.5,90.0,top
SW3,96.455,-83.75,90.0,top
SW4,96.41,-94.0,90.0,top
SW5,107.455,-63.7,270.0,top
SW6,107.455,-73.75,270.0,top
SW7,107.455,-83.7,270.0,top
SW8,107.455,-94.0,270.0,top
U6,75.5,-89.0,90.0,top
